X,Y,predicted_label
16.625,-0.00390625,Density 30%
16.640625,0.0078125,Density 30%
16.65625,0.01171875,Density 50%
16.671875,0.015625,Density 50%
16.6875,0.01953125,Density 50%
16.703125,0.02734375,Density 70%
16.71875,0.02734375,Density 70%
16.734375,0.03515625,Density 70%
16.75,0.04296875,Density 70%
16.765625,0.046875,Density 70%
16.78125,0.0390625,Density 70%
16.796875,0.046875,Density 70%
16.8125,0.0546875,Density 70%
16.828125,0.046875,Density 70%
16.84375,0.046875,Density 70%
16.859375,0.0390625,Density 70%
16.875,0.05078125,Density 70%
16.890625,0.04296875,Density 70%
16.90625,0.04296875,Density 70%
16.921875,0.04296875,Density 70%
16.9375,0.0390625,Density 70%
16.953125,0.03125,Density 70%
16.96875,0.03515625,Density 70%
16.984375,0.0234375,Density 50%
17.0,0.0234375,Density 50%
17.015625,0.0234375,Density 50%
17.03125,0.01953125,Density 50%
17.046875,0.0234375,Density 50%
17.0625,0.01953125,Density 50%
17.078125,0.01171875,Density 50%
17.09375,0.0234375,Density 50%
17.109375,0.015625,Density 50%
17.125,0.015625,Density 50%
17.140625,0.015625,Density 50%
17.15625,0.015625,Density 50%
17.171875,0.0,Density 30%
17.1875,0.00390625,Density 30%
17.203125,0.0,Density 30%
17.21875,0.0,Density 30%
17.234375,-0.0078125,Density 30%
17.25,-0.01171875,Density 30%
17.265625,-0.01171875,Density 30%
17.28125,-0.0078125,Density 30%
17.296875,-0.01171875,Density 30%
17.3125,-0.015625,Density 30%
17.328125,-0.00390625,Density 30%
17.34375,0.0,Density 30%
17.359375,0.0,Density 30%
17.375,0.00390625,Density 30%
17.390625,0.01171875,Density 50%
17.40625,0.0234375,Density 50%
17.421875,0.0234375,Density 50%
17.4375,0.0234375,Density 50%
17.453125,0.03125,Density 70%
17.46875,0.02734375,Density 70%
17.484375,0.02734375,Density 70%
17.5,0.0390625,Density 70%
17.515625,0.03515625,Density 70%
17.53125,0.02734375,Density 70%
17.546875,0.03125,Density 70%
17.5625,0.03515625,Density 70%
17.578125,0.03515625,Density 70%
17.59375,0.03125,Density 70%
17.609375,0.03125,Density 70%
17.625,0.03125,Density 70%
17.640625,0.03125,Density 70%
17.65625,0.03125,Density 70%
17.671875,0.03515625,Density 70%
17.6875,0.03125,Density 70%
17.703125,0.0234375,Density 50%
17.71875,0.03125,Density 70%
17.734375,0.01953125,Density 50%
17.75,0.0234375,Density 50%
17.765625,0.01953125,Density 50%
